,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95,,,Lo.80,Hi.80,Lo.95,Hi.95
41185,2302.442731,2196.491935,2408.393526,2140.404972,2464.48049,,min,-5719.663758,,,
41186,2313.273779,2146.282195,2480.265363,2057.882191,2568.665368,,max,2196.491935,,,
41187,2313.445302,2112.315077,2514.575527,2005.843167,2621.047437,,,,,,
41188,2304.61565,2078.385123,2530.846178,1958.625915,2650.605386,,,,,,
41189,2294.765213,2045.167176,2544.363249,1913.037956,2676.492469,,,,,,
41190,2285.797021,2013.403478,2558.190564,1869.207046,2702.386995,,,,,,
41191,2277.10461,1982.587584,2571.621635,1826.679688,2727.529531,,,,,,
41192,2268.537111,1952.395698,2584.678523,1785.040543,2752.033678,,,,,,
41193,2260.395889,1922.872769,2597.919009,1744.198822,2776.592955,,,,,,
41194,2252.921492,1894.132335,2611.71065,1704.200827,2801.642157,,,,,,
41195,2246.201802,1866.240707,2626.162897,1665.101453,2827.302151,,,,,,
41196,2240.256657,1839.237031,2641.276283,1626.950064,2853.56325,,,,,,
41197,2235.0825,1813.151489,2657.013512,1589.794703,2880.370297,,,,,,
41198,2230.655759,1788.002444,2673.309075,1553.675933,2907.635585,,,,,,
41199,2226.933332,1763.792271,2690.074394,1518.620203,2935.246462,,,,,,
41200,2223.858468,1740.508208,2707.208728,1484.638036,2963.0789,,,,,,
41201,2221.367077,1718.125227,2724.608926,1451.725084,2991.009069,,,,,,
41202,2219.392092,1696.608742,2742.175442,1419.863953,3018.92023,,,,,,
41203,2217.866422,1675.916979,2759.815864,1389.026274,3046.706569,,,,,,
41204,2216.725158,1656.003218,2777.447098,1359.174953,3074.275363,,,,,,
41205,2215.907205,1636.817832,2794.996579,1330.266435,3101.547976,,,,,,
41206,2215.356375,1618.310049,2812.402702,1302.252815,3128.459936,,,,,,
41207,2215.022016,1600.429384,2829.614647,1275.083698,3154.960334,,,,,,
41208,2214.859288,1583.126763,2846.591813,1248.707765,3181.010812,,,,,,
41209,2214.829177,1566.355356,2863.302998,1223.074051,3206.584303,,,,,,
41210,2214.898299,1550.071165,2879.725432,1198.132939,3231.663658,,,,,,
41211,2215.038571,1534.233394,2895.843747,1173.836903,3256.240238,,,,,,
41212,2215.226788,1518.804639,2911.648937,1150.141023,3280.312554,,,,,,
41213,2215.444143,1503.750935,2927.13735,1127.003309,3303.884976,,,,,,
41214,2215.675718,1489.041693,2942.309744,1104.384876,3326.966561,,,,,,
41215,2215.909989,1474.649556,2957.170422,1082.249985,3349.569992,,,,,,
41216,2216.138325,1460.550194,2971.726455,1060.565999,3371.71065,,,,,,
41217,2216.354538,1446.722073,2985.987002,1039.303257,3393.405819,,,,,,
41218,2216.554454,1433.146193,2999.962715,1018.43491,3414.673998,,,,,,
41219,2216.735535,1419.805827,3013.665243,997.9367233,3435.534347,,,,,,
41220,2216.896538,1406.686266,3027.106809,977.7868567,3456.006219,,,,,,
41221,2217.037222,1393.774568,3040.299875,957.9656443,3476.108799,,,,,,
41222,2217.158095,1381.059327,3053.256863,938.4553754,3495.860816,,,,,,
41223,2217.260207,1368.530467,3065.989948,919.2400822,3515.280333,,,,,,
41224,2217.344968,1356.179045,3078.510892,900.3053422,3534.384594,,,,,,
41225,2217.41401,1343.997085,3090.830935,881.6380944,3553.189926,,,,,,
41226,2217.469074,1331.977433,3102.960716,863.2264726,3571.711676,,,,,,
41227,2217.511923,1320.113621,3114.910224,845.0596559,3589.96419,,,,,,
41228,2217.544274,1308.399766,3126.688782,827.1277356,3607.960813,,,,,,
41229,2217.567757,1296.830474,3138.305039,809.4215986,3625.713915,,,,,,
41230,2217.583876,1285.40076,3149.766993,791.9328258,3643.234926,,,,,,
41231,2217.593997,1274.105987,3161.082007,774.6536044,3660.53439,,,,,,
41232,2217.599333,1262.941815,3172.256851,757.5766524,3677.622014,,,,,,
41233,2217.600945,1251.904155,3183.297735,740.6951543,3694.506735,,,,,,
