,Point.Forecast,Lo.90,Hi.90,Lo.95,Hi.95
41185,2302.442731,2166.456357,2438.429105,2140.404972,2464.48049
41186,2313.273779,2098.942402,2527.605157,2057.882191,2568.665368
41187,2313.445302,2055.297453,2571.593151,2005.843167,2621.047437
41188,2304.61565,2014.251911,2594.979389,1958.625915,2650.605386
41189,2294.765213,1974.409601,2615.120825,1913.037956,2676.492469
41190,2285.797021,1936.183693,2635.410348,1869.207046,2702.386995
41191,2277.10461,1899.096099,2655.11312,1826.679688,2727.529531
41192,2268.537111,1862.774001,2674.300221,1785.040543,2752.033678
41193,2260.395889,1827.189654,2693.602123,1744.198822,2776.592955
41194,2252.921492,1792.420594,2713.422391,1704.200827,2801.642157
41195,2246.201802,1758.527016,2733.876588,1665.101453,2827.302151
41196,2240.256657,1725.553539,2754.959775,1626.950064,2853.56325
41197,2235.0825,1693.53991,2776.625091,1589.794703,2880.370297
41198,2230.655759,1662.51638,2798.795139,1553.675933,2907.635585
41199,2226.933332,1632.498215,2821.368449,1518.620203,2935.246462
41200,2223.858468,1603.485125,2844.231811,1484.638036,2963.0789
41201,2221.367077,1575.463155,2867.270998,1451.725084,2991.009069
41202,2219.392092,1548.406926,2890.377257,1419.863953,3018.92023
41203,2217.866422,1522.281843,2913.451,1389.026274,3046.706569
41204,2216.725158,1497.04634,2936.403976,1359.174953,3074.275363
41205,2215.907205,1472.654041,2959.16037,1330.266435,3101.547976
41206,2215.356375,1449.055711,2981.65704,1302.252815,3128.459936
41207,2215.022016,1426.200913,3003.843118,1275.083698,3154.960334
41208,2214.859288,1404.03937,3025.679206,1248.707765,3181.010812
41209,2214.829177,1382.522038,3047.136316,1223.074051,3206.584303
41210,2214.898299,1361.601911,3068.194687,1198.132939,3231.663658
41211,2215.038571,1341.234586,3088.842555,1173.836903,3256.240238
41212,2215.226788,1321.378637,3109.07494,1150.141023,3280.312554
41213,2215.444143,1301.9958,3128.892485,1127.003309,3303.884976
41214,2215.675718,1283.051044,3148.300393,1104.384876,3326.966561
41215,2215.909989,1264.512523,3167.307454,1082.249985,3349.569992
41216,2216.138325,1246.351458,3185.925191,1060.565999,3371.71065
41217,2216.354538,1228.541964,3204.167112,1039.303257,3393.405819
41218,2216.554454,1211.060836,3222.048072,1018.43491,3414.673998
41219,2216.735535,1193.887329,3239.583741,997.9367233,3435.534347
41220,2216.896538,1177.002913,3256.790163,977.7868567,3456.006219
41221,2217.037222,1160.391045,3273.683398,957.9656443,3476.108799
41222,2217.158095,1144.036945,3290.279246,938.4553754,3495.860816
41223,2217.260207,1127.927379,3306.593036,919.2400822,3515.280333
41224,2217.344968,1112.050472,3322.639465,900.3053422,3534.384594
41225,2217.41401,1096.395524,3338.432497,881.6380944,3553.189926
41226,2217.469074,1080.952856,3353.985292,863.2264726,3571.711676
41227,2217.511923,1065.713672,3369.310173,845.0596559,3589.96419
41228,2217.544274,1050.669931,3384.418617,827.1277356,3607.960813
41229,2217.567757,1035.814248,3399.321265,809.4215986,3625.713915
41230,2217.583876,1021.139799,3414.027953,791.9328258,3643.234926
41231,2217.593997,1006.640246,3428.547748,774.6536044,3660.53439
41232,2217.599333,992.3096743,3442.888992,757.5766524,3677.622014
41233,2217.600945,978.1425337,3457.059356,740.6951543,3694.506735
41234,2217.599744,964.1335974,3471.06589,724.0027073,3711.19678
41235,2217.5965,950.2779232,3484.915078,707.4932744,3727.699727
41236,2217.591854,936.5708224,3498.612886,691.1611466,3744.022562
41237,2217.586327,923.0078352,3512.164818,675.0009095,3760.171744
41238,2217.580333,909.5847094,3525.575956,659.0074168,3776.153249
41239,2217.574197,896.2973832,3538.851011,643.1757664,3791.972628
