Date,Time,Block,import
28-04-2016,00:00-00:15,1,968
28-04-2016,00:15-00:30,2,956
28-04-2016,00:30-00:45,3,960
28-04-2016,00:45-01:00,4,964
28-04-2016,01:00-01:15,5,956
28-04-2016,01:15-01:30,6,960
28-04-2016,01:30-01:45,7,956
28-04-2016,01:45-02:00,8,888
28-04-2016,02:00-02:15,9,852
28-04-2016,02:15-02:30,10,848
28-04-2016,02:30-02:45,11,844
28-04-2016,02:45-03:00,12,892
28-04-2016,03:00-03:15,13,952
28-04-2016,03:15-03:30,14,924
28-04-2016,03:30-03:45,15,924
28-04-2016,03:45-04:00,16,920
28-04-2016,04:00-04:15,17,924
28-04-2016,04:15-04:30,18,928
28-04-2016,04:30-04:45,19,928
28-04-2016,04:45-05:00,20,924
28-04-2016,05:00-05:15,21,912
28-04-2016,05:15-05:30,22,904
28-04-2016,05:30-05:45,23,900
28-04-2016,05:45-06:00,24,896
28-04-2016,06:00-06:15,25,852
28-04-2016,06:15-06:30,26,808
28-04-2016,06:30-06:45,27,944
28-04-2016,06:45-07:00,28,956
28-04-2016,07:00-07:15,29,996
28-04-2016,07:15-07:30,30,1048
28-04-2016,07:30-07:45,31,1088
28-04-2016,07:45-08:00,32,960
28-04-2016,08:00-08:15,33,1020
28-04-2016,08:15-08:30,34,1136
28-04-2016,08:30-08:45,35,1152
28-04-2016,08:45-09:00,36,1160
28-04-2016,09:00-09:15,37,1172
28-04-2016,09:15-09:30,38,1208
28-04-2016,09:30-09:45,39,1376
28-04-2016,09:45-10:00,40,1380
28-04-2016,10:00-10:15,41,1380
28-04-2016,10:15-10:30,42,1388
28-04-2016,10:30-10:45,43,1380
28-04-2016,10:45-11:00,44,1580
28-04-2016,11:00-11:15,45,1644
28-04-2016,11:15-11:30,46,1528
28-04-2016,11:30-11:45,47,1512
28-04-2016,11:45-12:00,48,1536
28-04-2016,12:00-12:15,49,1520
28-04-2016,12:15-12:30,50,1492
28-04-2016,12:30-12:45,51,1516
28-04-2016,12:45-13:00,52,1504
28-04-2016,13:00-13:15,53,1504
28-04-2016,13:15-13:30,54,1424
28-04-2016,13:30-13:45,55,1596
28-04-2016,13:45-14:00,56,1608
28-04-2016,14:00-14:15,57,1576
28-04-2016,14:15-14:30,58,1596
28-04-2016,14:30-14:45,59,1600
28-04-2016,14:45-15:00,60,1592
28-04-2016,15:00-15:15,61,1580
28-04-2016,15:15-15:30,62,1552
28-04-2016,15:30-15:45,63,1568
28-04-2016,15:45-16:00,64,1548
28-04-2016,16:00-16:15,65,1540
28-04-2016,16:15-16:30,66,1544
28-04-2016,16:30-16:45,67,1536
28-04-2016,16:45-17:00,68,1512
28-04-2016,17:00-17:15,69,1500
28-04-2016,17:15-17:30,70,1504
28-04-2016,17:30-17:45,71,1504
28-04-2016,17:45-18:00,72,1476
28-04-2016,18:00-18:15,73,1364
28-04-2016,18:15-18:30,74,1252
28-04-2016,18:30-18:45,75,1344
28-04-2016,18:45-19:00,76,1340
28-04-2016,19:00-19:15,77,1356
28-04-2016,19:15-19:30,78,1380
28-04-2016,19:30-19:45,79,1392
28-04-2016,19:45-20:00,80,1388
28-04-2016,20:00-20:15,81,1340
28-04-2016,20:15-20:30,82,1328
28-04-2016,20:30-20:45,83,1292
28-04-2016,20:45-21:00,84,1272
28-04-2016,21:00-21:15,85,1280
28-04-2016,21:15-21:30,86,1248
28-04-2016,21:30-21:45,87,1256
28-04-2016,21:45-22:00,88,1248
28-04-2016,22:00-22:15,89,1220
28-04-2016,22:15-22:30,90,1200
28-04-2016,22:30-22:45,91,1160
28-04-2016,22:45-23:00,92,1108
28-04-2016,23:00-23:15,93,1080
28-04-2016,23:15-23:30,94,996
28-04-2016,23:30-23:45,95,992
28-04-2016,23:45-00:00,96,1072
29-04-2016,00:00-00:15,1,1028
29-04-2016,00:15-00:30,2,996
29-04-2016,00:30-00:45,3,1012
29-04-2016,00:45-01:00,4,996
29-04-2016,01:00-01:15,5,1004
29-04-2016,01:15-01:30,6,1012
29-04-2016,01:30-01:45,7,1004
29-04-2016,01:45-02:00,8,988
29-04-2016,02:00-02:15,9,984
29-04-2016,02:15-02:30,10,980
29-04-2016,02:30-02:45,11,972
29-04-2016,02:45-03:00,12,980
